ID,X,Y,GAS(g/m2/d),Temp,longitude,latitude
1.1,681070.1,1502279,7.077471278491123,44.6,100.67353416186883,13.583441629115619
1.2,681083.1,1502228,36.47849526207043,35.1,100.67365104396264,13.582979863265425
1.3,681094.0,1502143,18.04016756058411,38.5,100.67374636668306,13.58221092128235
1.4,681088.3,1502085,720.9124047622772,38.8,100.67369002353776,13.581687046270144
1.5,681084.9,1502038,920.8520006653812,39.1,100.6736556291872,13.58126245122263
1.6,681071.5,1501995,18.913302430993944,39.4,100.67352909285509,13.580874629953914
1.7,681084.4,1501931,7.241639426703546,37.4,100.6736442262544,13.580295370842187
1.8,681095.7,1501887,19.9205417302269,36.5,100.67374584386407,13.57989697942558
2.1,681038.2,1502304,52.78189287841531,46.4,100.67324100096602,13.583669568026489
2.2,681029.3,1502285,24.896573016363078,43.0,100.67315756336552,13.583498389851721
2.3,681016.7,1502255,73.31392296310437,33.6,100.67303924189012,13.583228018367619
2.4,681029.4,1502139,145.81932390845148,35.3,100.67314923311112,13.582178773602202
2.5,681044.2,1502071,1381.4698103277126,40.8,100.67328166941765,13.581563243036461
2.6,681041.9,1502017,71.13306576103733,43.0,100.67325699571488,13.581075310661351
2.7,681039.2,1501967,15.55287290499179,36.7,100.67322887991489,13.580623556757883
2.8,681038.3,1501883,29.57502877600843,39.7,100.673215240808,13.579864384723567
3.1,680997.8,1502328,7.154057536756145,41.2,100.67286923868376,13.58388899523006
3.2,680984.1,1502277,53.0643266772611,44.7,100.67273942278842,13.583428884839362
3.3,680992.6,1502213,17.982439024390242,39.5,100.67281390414392,13.582849898609966
3.4,680993.8,1502167,18.156743764529722,36.5,100.67282207663747,13.582434056592641
3.5,681002.9,1502129,20.663769792689656,37.8,100.6729037491971,13.58209003225534
3.6,681025.9,1502072,438.8815251640964,34.3,100.67311264801923,13.581573416072175
3.7,681019.4,1502031,28.543554006968648,42.0,100.67304999223798,13.581203243561166
3.8,680993.4,1501967,12.12530174216028,39.5,100.67280570762063,13.580626395884456
4.1,680955.3,1502267,70.4420206220238,46.1,100.67247268637703,13.58334028578706
4.2,680956.4,1502226,18.05755846761552,38.2,100.67248025221485,13.58296964206403
4.3,680953.7,1502173,14.478614351360907,37.5,100.67245194714826,13.582490772708777
4.4,680952.1,1502116,36.44301034450032,35.4,100.67243355248506,13.58197568143237
4.5,680950.2,1502074,36.64500942368406,33.7,100.67241333641417,13.581596185157013
4.6,680943.8,1502028,21.319679526229343,43.3,100.67235128891262,13.581180813999845
4.7,680938.9,1501987,7.283878412342128,35.6,100.6723034177953,13.580810541995762
4.8,680930.8,1501946,214.07665505226475,42.0,100.67222598028285,13.580440468227033
5.1,680924.3,1502293,54.57603297301992,35.9,100.67218790349253,13.58357720620793
5.2,680921.5,1502239,175.3357939195616,47.5,100.67215861147402,13.583089304549734
5.3,680914.0,1502196,36.02251407129455,39.0,100.672086590119,13.5827011168214
5.4,680912.4,1502152,728.6239475036565,35.5,100.67206901960505,13.582303525032883
5.5,680914.7,1502105,72.69744107531629,36.2,100.6720872937421,13.581878576287291
5.6,680912.7,1502059,5459.370655882723,35.8,100.67206590093565,13.581462932388186
5.7,680898.9,1502023,19.52862276495582,46.0,100.67193611442258,13.581138403835668
5.8,680887.8,1501933,18.925418576049037,39.2,100.67182785568811,13.580325632542683
6.1,680867.8,1502296,18.310564337314922,33.9,100.671666051046,13.583607822381989
6.2,680840.3,1502230,53.2150776053215,43.8,100.67140778030168,13.58301298939842
6.3,680845.2,1502179,3.545433561591137,44.0,100.67144982534606,13.58255172580588
6.4,680858.5,1502145,1085.896076352068,37.5,100.67157055972746,13.582243595260987
6.5,680853.7,1502102,55.21957610666836,32.3,100.67152348671695,13.5818552399612
6.6,680847.2,1502065,14.497290409859922,37.1,100.67146108648534,13.581521220517406
6.7,680843.0,1502000,2227.0193639849213,29.8,100.67141816485928,13.580933982423431
6.8,680844.9,1501948,3.58730430585506,40.3,100.67143242797978,13.580463866158018
7.1,680806.8,1502300,7.269744107531633,36.2,100.67110268301613,13.583647754610851
7.2,680812.6,1502224,10.559684676082588,46.3,100.67115146157028,13.582960474420075
7.3,680808.6,1502193,35.64549441878814,42.3,100.67111254035447,13.582680530673114
7.4,680823.2,1502117,144.73952852857565,37.6,100.67124262777389,13.581992705484513
7.5,680811.8,1502078,1840.0498346830227,32.4,100.67113482713121,13.581640912496672
7.6,680796.7,1502039,726.2697505811891,36.5,100.67099284032521,13.581289348513609
7.7,680788.8,1501999,7.272096014392691,36.1,100.67091731576143,13.58092830018842
7.8,680791.2,1501950,7.418497947355712,46.1,100.67093638952919,13.580485268192557
8.1,680758.5,1502309,10.918741311765448,35.8,100.67065697530522,13.58373209146298
8.2,680754.2,1502273,35.10001371094285,47.2,100.67061496605928,13.583406973995247
8.3,680748.3,1502213,36.52591612038967,34.7,100.67055665460047,13.582865033068732
8.4,680747.8,1502138,36.17323588749244,37.7,100.67054728839554,13.582187181226933
8.5,680731.2,1502101,36.78895054089656,32.5,100.67039156910073,13.581853786585494
8.6,680739.1,1502042,93.03235725766997,41.1,100.67046082882491,13.581320029718142
8.7,680727.3,1501999,14.285382129321771,41.7,100.67034908080129,13.580932107205347
8.8,680724.5,1501952,7.17003150892753,40.5,100.67032023636104,13.580507473839027
