system:index,control_P95_C,control_mean_C,control_median_C,control_valid_pixels,date,delta_P95_C,delta_median_C,month,scene_count,site_P90_C,site_P95_C,site_max_C,site_mean_C,site_median_C,site_valid_pixels,year,.geo,pixel_coverage_fraction,good_pixel_coverage,monthly_median_delta,monthly_MAD_delta,robust_Z,thermal_class
18,44.94860481071431,38.04512563964211,37.56802607340133,4308,2014-11-17,9.530757461598682,4.3903402165986805,11,2,46.28387060000002,47.09878353500001,48.81719309000002,41.74256147743167,41.95836629000001,294,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.4243281870027,1.0567645610239635,0.06792957002951489,Background range
0,39.28150744144651,34.24459854583747,33.90646832616676,3795,2015-01-04,10.871479628833242,6.746783993833276,1,2,44.28148055000002,44.777947955,46.01783471000002,39.77910111952593,40.65325232000004,248,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8435374149659864,True,9.282853171546076,1.3636745011020182,0.7857548592676018,Background range
1,36.783373838644,32.494824019523804,32.21761182557693,3737,2015-01-20,8.748958994423091,5.013140565296894,1,2,40.00041050000005,40.96657082000002,41.86494041,36.49880146673652,37.23075239087383,238,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8095238095238095,True,9.282853171546076,1.3636745011020182,-0.26407085321079404,Background range
2,37.97685155198625,33.28476702462093,32.842380456700944,2850,2015-02-05,7.826252953299068,4.295011040799082,2,2,39.698770235000026,40.66863341000001,41.94526388000003,36.84381078701676,37.137391497500026,229,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7789115646258503,True,8.426833472904178,1.6478439934050328,-0.24582788930051974,Background range
3,33.35577962000002,29.2563013559018,29.08801888844342,1084,2015-02-21,5.826377851556611,5.262404551556568,2,2,34.82894624000005,34.91439674000003,34.91439674000003,34.19104280786984,34.350423439999986,18,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",0.061224489795918366,False,8.426833472904178,1.6478439934050328,-1.064411008595266,Background range
5,39.968407586744746,34.873831676355586,34.47119094226836,4338,2015-03-25,6.573424667731665,2.9383603977316497,3,2,40.33081910000002,41.04461561000002,41.77436288000004,37.30167868995362,37.40955134000001,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.255713324999997,1.57838768186848,-1.146219610276409,Background range
6,44.67583460750001,38.309038163695085,37.817678587490185,4544,2015-04-26,8.38729271750983,4.464233524413352,4,2,45.89706467000002,46.204971305000015,46.45021424000001,41.97674881267119,42.28191211190354,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.717302541336988,1.2942534602992204,-0.17198221487192827,Background range
8,51.67050332472975,44.07304790676651,43.93570248225052,4092,2015-05-28,12.18579934774948,5.862120545749505,5,2,54.92092230500002,56.12150183,57.50409092000004,50.07963999229833,49.797823028000025,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.526327090928367,2.659472256821113,0.6744907594765952,Background range
9,30.5897157177895,24.65735742489753,24.222905083543655,4906,2015-06-13,4.915037856456372,2.6471815864563766,6,2,28.771787547500036,29.13794294000003,29.525888210000005,26.59280358720953,26.870086670000035,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.137254954762348,1.2319792138873433,-1.764117148516767,Background range
10,46.41945206000002,39.50622062295575,39.06145306746072,4538,2015-06-29,7.717745597539306,4.764576317539294,6,2,46.292985320000014,46.77919866500002,47.64993926,43.47283670946875,43.82602938500001,195,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6632653061224489,True,8.137254954762348,1.2319792138873433,-0.22967529141021878,Background range
13,36.55905501966811,30.41790567524976,30.061540108462463,2707,2015-08-16,10.273836351537556,5.1912406115375695,8,2,38.998930640000026,40.33537646000002,40.35246656000004,35.28486690534425,35.25278072000003,34,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",0.11564625850340136,False,9.778566383138529,0.3723682370087902,0.8971093233269609,Background range
17,48.558942690000016,41.860684617439965,41.31313850797993,4217,2015-11-04,9.3053511220201,4.029046991538145,11,2,49.67853413,50.61848963000003,52.26939329000001,45.17999137200114,45.34218549951808,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.4243281870027,1.0567645610239635,-0.07593832522416527,Background range
18,49.28493658055581,43.345241352436695,43.09419125410339,4477,2015-11-20,10.419361315896609,4.967619415896635,11,2,52.712026880000025,53.51355257,54.77651096000005,47.80207670201009,48.06181067000003,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.4243281870027,1.0567645610239635,0.6350900432937645,Background range
19,42.28822551167549,37.66279696354496,37.21615911318851,4355,2015-12-06,7.384906306811516,3.6176785968115226,12,2,44.033674100000006,44.601065420000026,45.03857198,40.5118494861144,40.83383771000003,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-1.2706293160330995,Background range
20,40.43279003000002,34.697868056116185,34.310668534837006,4295,2015-12-22,8.57113282516302,5.539918755163008,12,2,42.58956065000001,42.881801360000026,43.79953973000002,39.443639824756914,39.850587290000014,294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-0.5974353247190201,Background range
2,30.095311198211963,26.50914279339348,26.21524286685716,3511,2016-02-08,6.43186727314286,3.878595934994245,2,2,32.27568530000002,32.64711014000002,33.52668061999998,29.46834864667772,30.0938388018514,236,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8027210884353742,True,8.426833472904178,1.6478439934050328,-0.8165738216678436,Background range
4,40.33805503402154,36.9367074440564,37.02673310000002,526,2016-03-11,7.635856679999996,4.098205980000024,3,2,44.27293550000002,44.66258978000002,44.87792504000004,41.60024939168041,41.12493908000005,26,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.08843537414965986,False,9.255713324999997,1.57838768186848,-0.6922116481775099,Background range
6,50.44171396608113,43.19092509221994,43.19236988798168,4906,2016-04-12,9.988780237018332,5.858961000323241,4,2,52.26084824,53.181150125000016,53.899788830000034,48.10746818345431,49.051330888304925,294,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.717302541336988,1.2942534602992204,0.6626213357153331,Background range
7,46.181045165000015,39.66006384938508,40.41284026688663,650,2016-04-28,8.70855660311338,5.32642581311336,4,2,48.45659198000001,49.12139687000001,49.83747205999998,45.917661372349166,45.73926607999999,121,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.41156462585034015,False,8.717302541336988,1.2942534602992204,-0.004557881972680357,Background range
8,42.18161406986209,34.78224086432168,34.43981969430931,4906,2016-05-14,8.345137765690708,5.398322028115146,5,2,42.27492291421054,42.784957460000015,43.37741426000002,38.69056478721787,39.83814172242445,294,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.526327090928367,2.659472256821113,-0.29957119613554406,Background range
10,41.97530294131794,38.88880479146827,39.15786857000003,273,2016-06-15,6.83774901000001,4.977491624999985,6,2,45.83098295000003,45.99561758000005,46.258805120000034,43.54353434161069,44.13536019500002,105,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.35714285714285715,False,8.137254954762348,1.2319792138873433,-0.711460665688837,Background range
12,46.701682854285714,40.887723528237125,40.43423745683675,3684,2016-07-17,9.461340943163286,5.917423873163266,7,2,49.29187061750002,49.89557840000003,50.68514102000003,45.50585347799449,46.35166133000001,294,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,11.092590819812855,2.7734145697791455,-0.39671781499478,Background range
16,37.572334542500016,29.597627506860523,29.310259699744638,3755,2016-09-19,7.961716335255375,4.040392890255383,9,2,36.71797196000002,37.27197603500001,37.92567235999999,33.552980192957364,33.35065259000002,279,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9489795918367347,True,9.749304795460446,2.350647697042737,-0.5129275219217997,Background range
18,34.163571680000025,27.20330285175803,26.65386516718419,3340,2016-10-21,6.319096212815854,3.5829712028158305,10,2,32.586725120000025,32.972961380000044,33.49762745000004,29.777454651600756,30.23683637000002,267,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9081632653061225,True,9.02100873857114,3.5487631469695557,-0.513535267376818,Background range
20,41.46943951684212,33.313852834116226,33.30455362634331,1727,2016-11-22,4.993682913656713,1.5329376636567176,11,2,38.035049000000015,38.298236540000026,38.838283700000034,34.456009223607104,34.83749129000003,169,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5748299319727891,True,9.4243281870027,1.0567645610239635,-2.8279045357982584,Background range
22,38.038467020000006,33.1548325208941,33.21839642287905,3961,2016-12-24,6.312036327120978,3.256326447120969,12,2,39.16157142500002,39.53043275000003,40.085861,35.80896872578368,36.47472287000002,294,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-1.8794924737988161,Background range
0,31.53055694000001,27.27030001147425,27.16856561814816,1148,2017-01-25,3.763837821851872,3.6202809818518986,1,2,30.93240344000003,30.93240344000003,30.93240344000003,29.658621320000027,30.788846600000056,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",0.01020408163265306,False,9.282853171546076,1.3636745011020182,-2.7297752152511237,Background range
1,41.03186821002696,36.71057970059404,36.84209428884617,4177,2017-02-10,5.386437998653847,2.755860328209927,2,2,41.85326217500002,42.228532287500016,42.62886788000003,39.35548270773389,39.5979546170561,294,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.426833472904178,1.6478439934050328,-1.2444859226623715,Background range
2,38.775620000000025,34.9579311163477,34.72127861000002,508,2017-02-26,4.739084729999995,4.739084729999995,2,2,39.460363340000015,39.460363340000015,39.460363340000015,39.42238534000001,39.460363340000015,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",0.006802721088435374,False,8.426833472904178,1.6478439934050328,-1.5094586989515588,Background range
4,47.6890840282162,42.67140054159187,42.815823468489306,4305,2017-03-30,6.844338804010697,3.033673756510716,3,2,49.10145842000003,49.6601622725,50.85262399999999,45.84749627537169,45.84949722500002,287,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9761904761904762,True,9.255713324999997,1.57838768186848,-1.0304501553884458,Background range
5,44.068708805,37.43672094219812,36.82549717250001,1154,2017-04-15,8.722359787499983,7.037275927500019,4,2,45.06249811999999,45.54785695999999,45.8281346,43.87557785015321,43.86277310000003,61,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20748299319727892,False,8.717302541336988,1.2942534602992204,0.0026355469851707504,Background range
6,46.43545435718904,41.477840719672976,41.179162763565365,2668,2017-05-01,6.348582281434666,3.593942996434656,5,2,47.343741635000015,47.52774504500003,47.80033214,44.37981086605327,44.77310576000002,211,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",0.717687074829932,True,9.526327090928367,2.659472256821113,-0.8059341489578795,Background range
7,50.68645564307695,42.31333484320621,41.44106828176557,3595,2017-06-02,9.532895428234449,4.853284246234445,6,2,49.88276082500002,50.97396371000002,52.39927805000002,46.09113930109109,46.29435252800002,294,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.137254954762348,1.2319792138873433,0.7640929264854889,Background range
14,45.32184979144353,38.09617267565934,37.55523613827264,4906,2017-09-22,7.658936619227369,2.852373128670329,9,2,44.462635610000014,45.21417275750001,46.06226897000002,40.43399594796251,40.40760926694297,294,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.749304795460446,2.350647697042737,-0.5998066067267076,Background range
18,40.09466240150002,34.036729155660325,33.65687808322748,4906,2017-11-25,7.811572006772522,4.071403621772532,11,2,40.95574708999999,41.468450090000005,42.40498757000003,37.36804384999498,37.728281705000015,294,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.4243281870027,1.0567645610239635,-1.0293580812361842,Background range
19,43.72219940748447,38.15721796861493,37.9765120035351,4876,2017-12-11,9.623865966464932,5.000804552475998,12,2,47.02956863000002,47.60037797000003,48.224166620000034,42.50333098572104,42.9773165560111,294,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,0.0,Background range
